,age,job,marital,education,default,housing,loan,month,day_of_week,campaign,pdays,previous,poutcome,EVR,CPI,cons_conf_idx,euribor,no_emp,y,y_n
9822,55,unemployed,married,basic.4y,no,yes,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9823,43,blue-collar,married,basic.4y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9824,44,services,divorced,high.school,no,no,no,jun,wed,9,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9825,33,admin.,married,high.school,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9827,39,unemployed,married,professional.course,no,yes,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9828,29,admin.,single,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9829,46,blue-collar,married,basic.4y,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9830,36,blue-collar,divorced,high.school,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9831,47,management,married,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9832,41,admin.,single,university.degree,no,yes,yes,jun,wed,5,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9833,47,blue-collar,divorced,basic.9y,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9834,42,management,married,university.degree,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9835,36,blue-collar,divorced,high.school,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9836,42,blue-collar,married,basic.6y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9837,39,entrepreneur,married,high.school,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9838,45,services,married,high.school,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9839,48,blue-collar,married,basic.9y,no,no,no,jun,wed,5,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9840,37,admin.,married,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9841,30,self-employed,single,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9842,56,technician,married,basic.4y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9843,28,admin.,married,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9844,33,management,married,high.school,no,yes,yes,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9846,29,admin.,married,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9847,36,blue-collar,married,basic.6y,no,no,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9848,35,services,single,high.school,no,no,yes,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9849,49,self-employed,married,professional.course,no,no,yes,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9850,22,technician,married,basic.9y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9851,48,blue-collar,married,basic.9y,no,no,yes,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9852,53,blue-collar,divorced,basic.4y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9853,32,blue-collar,married,basic.9y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9854,48,admin.,divorced,high.school,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9855,52,admin.,divorced,basic.6y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9856,33,blue-collar,married,basic.9y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9857,30,blue-collar,married,basic.6y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9858,29,admin.,single,university.degree,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9859,31,services,married,high.school,no,yes,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9860,38,blue-collar,single,basic.9y,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9861,45,entrepreneur,married,high.school,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9862,36,blue-collar,married,basic.6y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9863,45,technician,single,professional.course,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9864,31,admin.,single,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9865,47,management,married,basic.4y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9866,27,admin.,married,basic.9y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9867,37,blue-collar,married,basic.6y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9868,49,blue-collar,married,basic.9y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9869,37,blue-collar,married,basic.6y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9870,42,blue-collar,married,basic.6y,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9871,54,admin.,married,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9872,52,technician,married,high.school,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9873,43,technician,married,professional.course,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9874,30,blue-collar,single,basic.6y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9875,43,admin.,married,high.school,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9876,52,technician,married,high.school,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9877,38,blue-collar,married,basic.4y,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9878,38,blue-collar,married,basic.6y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9879,32,blue-collar,married,basic.6y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9882,33,technician,married,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9883,42,technician,married,professional.course,no,no,no,jun,wed,16,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9884,57,technician,single,professional.course,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9885,24,self-employed,single,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9886,33,admin.,single,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9887,39,housemaid,married,university.degree,no,no,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9888,45,blue-collar,married,basic.6y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9889,31,blue-collar,married,basic.6y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9890,31,services,married,basic.9y,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9891,48,blue-collar,married,basic.9y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9892,37,admin.,single,high.school,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9893,32,admin.,single,high.school,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9894,51,admin.,married,basic.6y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9895,33,admin.,married,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9896,60,technician,divorced,professional.course,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9897,25,services,single,high.school,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9898,50,blue-collar,married,basic.6y,no,yes,yes,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9899,33,admin.,single,university.degree,no,yes,yes,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9900,44,admin.,married,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9901,43,entrepreneur,married,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9902,57,retired,married,basic.4y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9903,58,management,married,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9904,50,blue-collar,married,basic.6y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9905,41,blue-collar,married,basic.6y,no,yes,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9906,34,blue-collar,single,basic.9y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9907,31,blue-collar,married,basic.9y,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9908,31,technician,single,N/A,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9909,55,technician,married,high.school,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9910,45,blue-collar,married,basic.9y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9911,48,admin.,divorced,high.school,no,yes,yes,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9912,44,unemployed,single,basic.4y,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9913,30,admin.,single,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9914,57,blue-collar,married,N/A,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9915,39,blue-collar,married,professional.course,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9916,52,blue-collar,divorced,high.school,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9917,36,services,single,N/A,no,yes,yes,jun,wed,7,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9919,43,unemployed,married,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9920,39,entrepreneur,married,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9921,44,blue-collar,divorced,high.school,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9922,40,entrepreneur,married,basic.9y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9923,49,technician,divorced,N/A,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9924,42,admin.,divorced,high.school,no,yes,yes,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9925,56,blue-collar,married,basic.4y,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9926,31,housemaid,married,basic.4y,no,no,no,jun,wed,10,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9927,52,unemployed,married,N/A,no,yes,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9928,33,management,single,university.degree,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9929,33,admin.,married,university.degree,no,yes,yes,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9931,51,entrepreneur,married,professional.course,no,no,no,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9932,36,technician,married,professional.course,no,no,no,jun,wed,9,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9933,45,technician,married,university.degree,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9934,42,services,married,high.school,no,no,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9935,43,services,single,N/A,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9936,42,blue-collar,married,N/A,no,no,no,jun,wed,7,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9937,36,admin.,married,professional.course,no,no,no,jun,wed,17,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9938,42,blue-collar,divorced,basic.9y,no,yes,no,jun,wed,5,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9939,48,admin.,married,professional.course,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9940,35,admin.,married,university.degree,no,yes,no,jun,wed,5,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9941,30,blue-collar,single,basic.4y,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9942,31,admin.,married,university.degree,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9943,40,technician,married,basic.9y,no,no,no,jun,wed,6,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9944,26,admin.,single,high.school,no,no,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9945,47,blue-collar,divorced,basic.4y,no,no,yes,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9946,41,housemaid,married,basic.4y,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9947,40,services,married,high.school,no,yes,no,jun,wed,6,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9948,37,blue-collar,married,basic.9y,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9949,38,blue-collar,married,basic.6y,no,yes,no,jun,wed,13,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9950,49,blue-collar,married,basic.9y,no,no,no,jun,wed,9,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9951,50,blue-collar,divorced,basic.4y,no,yes,no,jun,wed,22,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9952,37,admin.,married,basic.9y,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9953,55,admin.,divorced,high.school,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9954,50,blue-collar,divorced,basic.4y,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9955,38,admin.,single,university.degree,no,no,yes,jun,wed,9,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9956,33,entrepreneur,married,high.school,no,yes,no,jun,wed,8,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9957,41,admin.,single,high.school,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9958,56,blue-collar,married,basic.4y,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9959,52,services,married,university.degree,no,yes,yes,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9960,51,unemployed,married,high.school,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9961,32,blue-collar,married,basic.9y,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9962,33,blue-collar,married,basic.6y,no,no,no,jun,wed,6,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9963,49,management,divorced,high.school,no,no,no,jun,wed,6,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9964,29,self-employed,married,university.degree,no,yes,no,jun,wed,6,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9965,35,blue-collar,married,basic.6y,no,no,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9966,25,self-employed,married,professional.course,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9967,47,blue-collar,married,basic.4y,no,yes,yes,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9968,45,blue-collar,married,basic.4y,no,no,no,jun,wed,9,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9969,56,admin.,married,high.school,no,yes,no,jun,wed,11,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9970,43,technician,single,professional.course,no,yes,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9971,57,self-employed,married,basic.4y,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9972,47,blue-collar,married,basic.9y,no,no,no,jun,wed,7,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9973,45,entrepreneur,married,basic.6y,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9974,45,blue-collar,married,basic.9y,no,no,no,jun,wed,13,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9975,40,blue-collar,married,basic.4y,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9976,36,unemployed,single,university.degree,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9977,41,blue-collar,married,basic.9y,no,yes,no,jun,wed,6,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9979,38,admin.,married,university.degree,no,yes,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9980,49,admin.,divorced,university.degree,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9981,53,blue-collar,married,basic.9y,no,no,no,jun,wed,10,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9982,37,blue-collar,single,basic.9y,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9983,43,services,married,high.school,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9984,29,admin.,single,university.degree,no,yes,yes,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9985,39,technician,married,professional.course,no,yes,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9987,57,retired,single,high.school,no,no,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9988,30,services,married,N/A,no,yes,no,jun,wed,10,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9989,28,services,married,high.school,no,no,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9990,35,blue-collar,single,N/A,no,no,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9991,28,technician,single,university.degree,no,no,no,jun,wed,17,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9992,46,blue-collar,married,basic.9y,no,no,no,jun,wed,10,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9993,31,housemaid,married,basic.4y,no,yes,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9994,59,retired,married,professional.course,no,yes,no,jun,wed,8,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9995,39,blue-collar,married,basic.4y,no,yes,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9996,36,technician,married,high.school,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
9998,41,technician,married,professional.course,no,yes,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,1.0
9999,40,services,divorced,N/A,no,yes,yes,jun,wed,29,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10000,28,admin.,single,university.degree,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10001,30,services,married,high.school,no,yes,no,jun,wed,5,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10002,25,blue-collar,single,basic.4y,no,no,no,jun,wed,19,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10003,45,blue-collar,married,basic.9y,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10004,40,admin.,single,university.degree,no,no,yes,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10005,37,admin.,married,university.degree,no,yes,no,jun,wed,10,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10006,45,blue-collar,married,basic.4y,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10007,49,blue-collar,divorced,basic.4y,no,no,no,jun,wed,5,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10008,42,blue-collar,married,basic.6y,no,no,no,jun,wed,7,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10009,35,admin.,single,high.school,no,yes,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10011,56,blue-collar,divorced,basic.4y,no,yes,no,jun,wed,4,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10012,43,blue-collar,married,basic.9y,no,yes,no,jun,wed,2,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10015,30,self-employed,single,university.degree,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10016,32,entrepreneur,married,high.school,no,no,no,jun,wed,8,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0.0
10017,32,blue-collar,married,basic.9y,no,no,no,jun,thu,2,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10018,40,admin.,married,high.school,no,no,no,jun,thu,6,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10019,38,blue-collar,married,basic.6y,no,no,no,jun,thu,12,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10020,54,housemaid,divorced,N/A,no,yes,no,jun,thu,3,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10021,59,technician,married,university.degree,no,no,no,jun,thu,2,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10022,45,blue-collar,divorced,basic.9y,no,yes,no,jun,thu,3,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10023,40,admin.,married,university.degree,no,no,no,jun,thu,3,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10024,27,student,single,high.school,no,yes,no,jun,thu,3,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10025,55,retired,divorced,high.school,no,no,no,jun,thu,16,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10026,37,admin.,single,university.degree,no,yes,no,jun,thu,8,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10027,53,technician,married,N/A,no,yes,no,jun,thu,3,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10028,56,management,married,university.degree,no,no,no,jun,thu,5,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10029,39,admin.,married,university.degree,no,yes,no,jun,thu,3,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10030,29,services,married,high.school,no,yes,no,jun,thu,2,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10031,30,student,single,basic.9y,no,no,no,jun,thu,3,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10032,31,entrepreneur,married,high.school,no,yes,no,jun,thu,2,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
10033,42,entrepreneur,married,university.degree,no,yes,no,jun,thu,3,0,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0.0
